Stream,CourseDuration,Year,Subjects,Projects
CSE,4 Years,Year 1,"Programming Basics, Mathematics, Digital Logic","Calculator App, Simple Website"
CSE,4 Years,Year 2,"Data Structures, DBMS, Operating Systems","Library Management System, Chat Application"
CSE,4 Years,Year 3,"Computer Networks, AI Basics, Software Engineering","Network Simulator, AI Chatbot"
CSE,4 Years,Year 4,"Machine Learning, Cloud Computing, Cyber Security","ML Model, Cloud-based File Storage"

ECE,4 Years,Year 1,"Electronics Basics, Mathematics, Physics","Circuit Design, LED Blinker"
ECE,4 Years,Year 2,"Analog Electronics, Signals & Systems, Digital Communication","FM Transmitter, Signal Analyzer"
ECE,4 Years,Year 3,"Microprocessors, VLSI Design, Control Systems","Microcontroller-based Robot, Smart Traffic Light"
ECE,4 Years,Year 4,"Wireless Communication, Embedded Systems, IoT","IoT Home Automation, Drone Communication System"

EEE,4 Years,Year 1,"Electrical Basics, Mathematics, Physics","Transformer Model, Simple Motor"
EEE,4 Years,Year 2,"Power Systems, Control Systems, Digital Electronics","Smart Grid Model, Motor Controller"
EEE,4 Years,Year 3,"Renewable Energy, Microprocessors, Power Electronics","Solar Inverter, Wind Turbine Controller"
EEE,4 Years,Year 4,"Smart Grids, Electric Vehicles, Robotics","EV Charging Station, Robotic Arm"

ME,4 Years,Year 1,"Engineering Mechanics, Mathematics, Physics","Bridge Model, Gear Assembly"
ME,4 Years,Year 2,"Thermodynamics, Fluid Mechanics, Manufacturing","IC Engine Model, Hydraulic Lift"
ME,4 Years,Year 3,"Heat Transfer, CAD/CAM, Machine Design","Heat Exchanger, CNC Machining"
ME,4 Years,Year 4,"Robotics, Automobile Engineering, Industrial Engineering","Autonomous Vehicle, Smart Factory Layout"

CE,4 Years,Year 1,"Civil Engineering Basics, Mathematics, Physics","House Layout, Soil Testing"
CE,4 Years,Year 2,"Structural Engineering, Surveying, Hydraulics","Bridge Design, Irrigation Model"
CE,4 Years,Year 3,"Transportation Engineering, Geotechnical Engineering, Environmental Engineering","Highway Design, Waste Management System"
CE,4 Years,Year 4,"Construction Management, Smart Cities, Earthquake Engineering","Smart Building, Disaster Management Plan"

IT,4 Years,Year 1,"Programming Basics, Mathematics, Digital Logic","Portfolio Website, Chatbot"
IT,4 Years,Year 2,"Web Development, DBMS, Operating Systems","E-commerce Website, Student Portal"
IT,4 Years,Year 3,"Computer Networks, Cyber Security, Software Engineering","Firewall System, Bug Tracker"
IT,4 Years,Year 4,"AI, Cloud Computing, Big Data","Recommendation System, Cloud Storage"

AI,4 Years,Year 1,"Programming Basics, Mathematics, Statistics","Simple AI Game, Chatbot"
AI,4 Years,Year 2,"Machine Learning, Data Mining, Neural Networks","Image Classifier, Sentiment Analyzer"
AI,4 Years,Year 3,"Deep Learning, NLP, Computer Vision","Face Recognition, Text Summarizer"
AI,4 Years,Year 4,"Advanced AI, Robotics, Ethics in AI","Autonomous Drone, AI Ethics Framework"

DS,4 Years,Year 1,"Programming Basics, Statistics, Mathematics","Data Cleaning Project, Visualization"
DS,4 Years,Year 2,"Data Mining, DBMS, Machine Learning","Customer Segmentation, Predictive Model"
DS,4 Years,Year 3,"Big Data, Cloud Computing, AI Basics","Hadoop Project, Cloud Data Pipeline"
DS,4 Years,Year 4,"Advanced Analytics, Deep Learning, Business Intelligence","Recommendation Engine, BI Dashboard"

Robotics,4 Years,Year 1,"Mechanics, Electronics Basics, Programming","Line Follower Robot, Pick & Place Arm"
Robotics,4 Years,Year 2,"Control Systems, Sensors, Microcontrollers","Obstacle Avoider Robot, Gesture Control Bot"
Robotics,4 Years,Year 3,"AI Basics, Embedded Systems, Machine Vision","Vision-based Robot, Autonomous Car"
Robotics,4 Years,Year 4,"Advanced Robotics, IoT, Human-Robot Interaction","Humanoid Robot, IoT-enabled Robot"

Biotech,4 Years,Year 1,"Biology Basics, Chemistry, Mathematics","DNA Extraction, Enzyme Activity"
Biotech,4 Years,Year 2,"Genetics, Microbiology, Biochemistry","Bacterial Culture, Protein Analysis"
Biotech,4 Years,Year 3,"Molecular Biology, Immunology, Bioinformatics","Gene Sequencing, Drug Design"
Biotech,4 Years,Year 4,"Genetic Engineering, Bioprocess Engineering, Nanobiotech","CRISPR Project, Bio-Nano Sensors"

Chemical,4 Years,Year 1,"Chemistry Basics, Mathematics, Physics","Reaction Experiment, Distillation Setup"
Chemical,4 Years,Year 2,"Thermodynamics, Fluid Mechanics, Process Engineering","Heat Exchanger, Reactor Design"
Chemical,4 Years,Year 3,"Polymer Science, Environmental Engineering, Biochemical Engineering","Plastic Recycling, Biofuel Production"
Chemical,4 Years,Year 4,"Petrochemical Engineering, Nanotechnology, Process Control","Petrochemical Plant Model, Nano Coating"

Aerospace,4 Years,Year 1,"Physics, Mathematics, Mechanics","Glider Model, Rocket Basics"
Aerospace,4 Years,Year 2,"Aerodynamics, Propulsion, Materials","Wind Tunnel Test, Jet Engine Model"
Aerospace,4 Years,Year 3,"Flight Mechanics, Avionics, Control Systems","Drone Design, Flight Simulator"
Aerospace,4 Years,Year 4,"Space Technology, Advanced Propulsion, Satellite Communication","Satellite Model, Space Rover"

Automobile,4 Years,Year 1,"Mechanics, Mathematics, Physics","Car Engine Model, Gearbox"
Automobile,4 Years,Year 2,"Thermodynamics, Fluid Mechanics, Vehicle Design","Hybrid Engine, Brake System"
Automobile,4 Years,Year 3,"Automobile Engineering, CAD/CAM, Robotics","Autonomous Car, Smart Parking System"
Automobile,4 Years,Year 4,"EV Technology, Safety Engineering, Smart Vehicles","Electric Car, Crash Test Simulation"

Petroleum,4 Years,Year 1,"Chemistry Basics, Mathematics, Physics","Oil Extraction Model, Refinery Basics"
